Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(1,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(2,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(3,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(4,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(5,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(6,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(7,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(8,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(9,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(10,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(11,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(12,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(13,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(14,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(15,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(16,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(17,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(18,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(19,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(20,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(21,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(22,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(23,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(24,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(25,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(26,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(27,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(28,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(29,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(30,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(31,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(32,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(33,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(34,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(35,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(36,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(37,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(38,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(39,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(40,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(41,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(42,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(43,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(44,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(45,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(46,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(47,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(48,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(49,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(50,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(51,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(52,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(53,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(54,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(55,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(56,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(57,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(58,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(59,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(60,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(61,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(62,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(63,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(64,'Single Bed Room','New York','241154',1,100);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(65,'Double Bed Room','New York','241154',1,200);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(66,'Standard Suite','New York','241154',1,400);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(67,'Deluxe Suite','New York','241154',1,800);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(68,'Emperor Suite','New York','241154',1,2000);
Insert into room(room_number,type, hotel_city, hotel_pincode, isAvailable, cost) values(69,'Single Bed Room','New York','241154',1,100);
